USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
hanoch    1902  0.0  0.0  75236  4672 ?        Ss   Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
hanoch    1903  0.0  0.0  22360  1988 ?        Ss   Apr04   0:00          \_ upstart-event-bridge
hanoch    1923  0.0  0.1 356876 13148 ?        Ssl  Apr04   0:23          \_ /usr/bin/ibus-daemon --daemonize --xim
hanoch    1964  0.0  0.0 270452  4992 ?        Sl   Apr04   0:00          |   \_ /usr/lib/ibus/ibus-dconf
hanoch    1966  0.0  0.2 465956 22036 ?        Sl   Apr04   0:09          |   \_ /usr/lib/ibus/ibus-ui-gtk3
hanoch    2086  0.0  0.0 194700  5392 ?        Sl   Apr04   0:04          |   \_ /usr/lib/ibus/ibus-engine-simple
hanoch    1939  0.1  0.0 418748  4832 ?        Sl   Apr04   1:29          \_ /usr/lib/gvfs/gvfsd
hanoch    1952  0.0  0.0 335224  4720 ?        Sl   Apr04   0:00          \_ /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
hanoch    1956  0.0  0.0  30972  1736 ?        S    Apr04   0:00          \_ upstart-file-bridge --daemon --user
hanoch    1958  0.0  0.0  22368  1096 ?        S    Apr04   0:00          \_ upstart-dbus-bridge --daemon --system --user --bus-name system
hanoch    1959  0.1  0.0  22476  1064 ?        S    Apr04   1:48          \_ upstart-dbus-bridge --daemon --session --user --bus-name session
hanoch    1968  0.0  0.1 378732  8332 ?        Sl   Apr04   0:00          \_ /usr/lib/ibus/ibus-x11 --kill-daemon
hanoch    1981  0.0  0.0 264228  5004 ?        Sl   Apr04   0:00          \_ /usr/lib/at-spi2-core/at-spi-bus-launcher
hanoch    1989  0.0  0.0  42516  3168 ?        S    Apr04   0:00          |   \_ /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
hanoch    1996  0.0  0.0 123196  5200 ?        Sl   Apr04   0:01          \_ /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
hanoch    1997  0.0  0.2 508752 18596 ?        Sl   Apr04   0:05          \_ /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
hanoch    2006 19.1 51.2 5002168 4140980 ?     Ssl  Apr04 173:53          \_ /usr/lib/x86_64-linux-gnu/hud/hud-service
hanoch    2008  0.0  0.2 931724 19608 ?        Ssl  Apr04   0:00          \_ /usr/lib/unity-settings-daemon/unity-settings-daemon
hanoch    2139  0.0  0.0  22352  2096 ?        S    Apr04   0:00          |   \_ syndaemon -i 1.0 -t -K -R
hanoch    2020  0.0  0.1 555720 11192 ?        Ssl  Apr04   0:53          \_ gnome-session --session=ubuntu
hanoch    2340  0.0  0.1 427880 15228 ?        Sl   Apr04   0:00          |   \_ /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
hanoch    2348  0.0  0.2 631844 22640 ?        Sl   Apr04   0:00          |   \_ /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
hanoch    2349  0.0  0.3 583876 25952 ?        Sl   Apr04   0:01          |   \_ nm-applet
hanoch    2354 37.6  3.2 1817688 265776 ?      Sl   Apr04 342:08          |   \_ nautilus -n
hanoch    3117  0.0  0.1 466272 14356 ?        Sl   Apr04   0:00          |   \_ telepathy-indicator
hanoch    4504  0.0  0.2 552696 18044 ?        Sl   Apr04   0:00          |   \_ update-notifier
hanoch    6281  0.0  0.0 294216  5600 ?        Sl   Apr04   0:00          |   \_ /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
hanoch    2023  0.0  0.6 797496 56352 ?        Ssl  Apr04   0:22          \_ /usr/lib/unity/unity-panel-service
hanoch    2028  1.2  0.9 1496872 75952 ?       Ssl  Apr04  11:05          \_ compiz
hanoch    2071  0.0  0.0 178936  4680 ?        Sl   Apr04   0:00          \_ /usr/lib/dconf/dconf-service
hanoch    2091  0.0  0.0 291412  5296 ?        Ssl  Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
hanoch    2096  0.0  0.0 263988  4924 ?        Ssl  Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
hanoch    2099  0.0  0.0 419140  5844 ?        Ssl  Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
hanoch    2103  0.0  0.1 1179412 8632 ?        Ssl  Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
hanoch    2110  0.0  0.2 584996 17424 ?        Ssl  Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
hanoch    2115  0.0  0.0 565732  6644 ?        Ssl  Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
hanoch    2123  0.0  0.1 535044 15096 ?        Ssl  Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
hanoch    2140  0.0  0.0 883328  4680 ?        Ssl  Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
hanoch    2176  0.0  0.1 311316 10144 ?        Ssl  Apr04   0:28          \_ /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
hanoch    2193  0.6  0.0 643528  6008 ?        S<l  Apr04   5:51          \_ /usr/bin/pulseaudio --start --log-target=syslog
hanoch    2217  0.0  0.1 883900 12320 ?        Sl   Apr04   0:00          \_ /usr/lib/evolution/evolution-source-registry
hanoch    2347  0.0  0.1 996564 13400 ?        Sl   Apr04   0:00          \_ /usr/lib/evolution/evolution-calendar-factory
hanoch    2416  0.4  0.8 3067668 70680 ?       Ssl  Apr04   3:57          \_ /home/hanoch/.dropbox-dist/dropbox-lnx.x86_64-3.16.1/dropbox
hanoch    2420  0.0  0.0 366956  6324 ?        Sl   Apr04   0:00          \_ /usr/lib/gvfs/gvfs-udisks2-volume-monitor
hanoch    2464  0.0  0.0  56396  4044 ?        S    Apr04   0:00          \_ /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
hanoch    2509  0.0  0.0 189804  4424 ?        Sl   Apr04   0:00          \_ /usr/lib/gvfs/gvfs-mtp-volume-monitor
hanoch    2520  0.0  0.0 201976  4864 ?        Sl   Apr04   0:00          \_ /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
hanoch    2533  0.0  0.0 326380  6836 ?        Sl   Apr04   0:00          \_ /usr/lib/gvfs/gvfs-afc-volume-monitor
hanoch    2565  0.0  0.0 349552  7508 ?        Sl   Apr04   0:00          \_ /usr/lib/gvfs/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
hanoch    2589  0.0  0.0 116984  5264 ?        Sl   Apr04   0:00          \_ /usr/lib/gvfs/gvfsd-metadata
hanoch    2623  0.0  0.2 401248 23908 ?        Sl   Apr04   0:38          \_ /usr/lib/x86_64-linux-gnu/notify-osd
hanoch    2633  0.0  0.0 271168  3776 ?        Sl   Apr04   0:00          \_ /usr/lib/gvfs/gvfsd-burn --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
hanoch    2832  0.1  0.0 338784  6888 ?        Sl   Apr04   1:12          \_ /usr/bin/zeitgeist-daemon
hanoch    2838  0.1  0.5 357244 47120 ?        Sl   Apr04   1:14          \_ /usr/lib/x86_64-linux-gnu/zeitgeist-fts
hanoch    2856  0.0  0.0  11580   384 ?        S    Apr04   0:00          |   \_ /bin/cat
